transaction_id,order_id,product_id,customer_id,employee_id,total_sales,quantity,discount
128,120,60,1574,50,160.16,7,0.1
129,129,83,29,93,434.84,6,0.48
130,54,58,1674,35,300.32,3,0.01
131,127,50,1109,21,60.13,9,0.19
132,38,93,511,55,199.32,9,0.0
133,41,63,1427,41,498.34,2,0.12
134,170,16,353,27,328.61,3,0.04
135,104,11,1127,54,311.07,10,0.21
136,73,56,546,76,369.94,10,0.22
137,157,23,83,57,496.83,2,0.04
138,3,22,754,58,94.11,3,0.31
139,185,66,1658,42,114.51,9,0.45
140,62,52,1061,98,450.1,8,0.46
141,152,79,680,33,417.66,6,0.07
142,124,87,322,39,133.4,3,0.45
143,118,36,1375,11,35.13,2,0.25
144,110,1,476,16,287.14,6,0.13
145,31,12,158,85,495.39,5,0.5
146,59,21,855,25,129.46,6,0.12
147,16,31,1955,96,63.27,6,0.28
148,31,13,1816,88,312.02,1,0.11
149,194,80,1179,11,74.73,3,0.21
150,119,66,442,42,357.84,4,0.31
151,77,60,261,33,64.63,2,0.09
152,99,95,365,67,378.55,3,0.08
153,8,4,260,61,320.6,4,0.13
154,180,69,38,44,490.63,7,0.15
155,54,67,900,54,217.68,3,0.03
156,94,68,299,19,404.29,4,0.1
157,28,8,708,97,190.32,7,0.17
158,180,49,1033,6,443.23,3,0.36
159,166,11,782,51,153.02,9,0.05
160,70,75,393,66,12.54,2,0.07
161,180,60,1645,52,53.45,2,0.03
162,76,34,1860,71,297.53,7,0.18
163,170,51,509,20,252.45,9,0.17
164,64,56,209,67,424.6,10,0.16
165,188,90,1322,75,86.99,6,0.42
166,197,22,830,86,262.85,9,0.23
167,113,25,302,76,11.18,1,0.47
168,118,57,1514,22,364.0,9,0.14
169,23,5,477,49,413.18,4,0.28
170,155,87,1926,74,269.2,3,0.04
171,81,59,1161,52,346.31,8,0.03
172,89,16,1140,55,94.53,9,0.2
173,76,20,1133,32,123.3,4,0.09
174,70,66,203,27,191.71,6,0.4
175,135,85,562,70,138.44,9,0.09
176,56,18,140,85,208.47,10,0.49
177,172,71,826,44,349.12,10,0.06
178,148,30,1637,44,133.39,5,0.46
179,156,1,1632,17,130.07,3,0.1
180,137,8,1312,73,332.02,5,0.0
181,22,9,375,4,251.59,3,0.34
182,100,4,1338,90,206.21,4,0.08
183,113,38,184,89,81.0,10,0.19
184,74,83,1919,68,462.19,7,0.11
185,141,56,896,89,275.15,4,0.16
186,50,12,1342,55,419.25,2,0.23
187,67,62,1170,87,244.38,7,0.46
188,8,65,1612,21,387.61,9,0.48
189,39,53,1198,95,30.64,2,0.24
190,110,74,1701,88,118.32,3,0.06
191,194,71,540,31,339.11,6,0.33
192,186,72,1575,90,74.6,5,0.41
193,109,39,1996,7,234.44,6,0.19
194,44,62,1771,33,210.11,10,0.47
195,193,29,1791,99,199.36,1,0.45
196,124,40,398,55,178.23,1,0.11
197,135,95,1850,28,457.35,6,0.09
198,166,36,51,87,70.02,4,0.27
199,108,89,1751,8,230.15,5,0.23
200,162,15,1666,65,133.69,1,0.41
201,112,29,1668,86,87.65,10,0.14
202,114,44,1842,10,368.64,2,0.0
203,170,68,824,87,311.88,2,0.02
204,98,9,430,31,210.81,8,0.46
205,176,16,218,17,279.48,5,0.08
206,123,1,169,6,401.88,4,0.17
207,17,82,546,94,13.8,7,0.35
208,119,58,954,92,359.33,5,0.01
209,68,89,1222,34,263.52,10,0.24
210,8,43,855,84,137.5,2,0.3
211,46,20,1710,50,177.95,3,0.23
212,64,71,1837,57,56.45,10,0.02
213,193,35,1199,14,335.64,6,0.16
214,93,83,1508,64,29.68,1,0.07
215,139,82,193,83,16.83,2,0.23
216,156,95,436,26,270.0,8,0.15
217,34,22,302,87,304.76,9,0.1
218,88,32,325,56,444.54,4,0.42
219,98,1,1426,80,178.97,4,0.25
220,188,69,1342,54,357.31,2,0.18
221,84,93,833,92,311.45,9,0.42
222,163,87,239,30,420.82,3,0.21
223,60,64,835,30,234.1,2,0.22
224,141,40,823,57,302.8,6,0.49
225,19,78,1953,39,379.12,2,0.13
226,6,65,467,50,412.61,7,0.06
227,13,30,511,63,288.05,9,0.25
228,149,95,1271,95,394.04,10,0.06
229,55,84,1998,45,77.03,5,0.35
230,74,13,359,76,304.08,8,0.18
231,59,85,1816,9,190.5,1,0.01
232,32,36,611,14,226.96,9,0.43
233,39,12,250,26,41.7,8,0.41
234,186,24,1691,49,204.93,7,0.24
235,188,19,1851,16,393.16,7,0.36
236,173,18,1002,57,366.42,1,0.05
237,116,89,189,69,136.72,3,0.43
238,187,10,1609,5,317.92,5,0.22
239,90,42,27,29,39.16,6,0.25
240,58,6,1929,63,393.26,8,0.39
241,183,23,1784,38,372.5,7,0.36
242,2,8,732,92,33.09,2,0.48
243,150,56,317,7,121.27,1,0.15
244,3,19,198,55,362.17,6,0.33
245,71,42,393,100,303.97,3,0.25
246,16,65,650,7,281.56,10,0.1
247,40,29,107,36,416.65,2,0.43
248,30,68,1566,2,239.43,1,0.2
249,93,1,481,88,311.4,9,0.14
250,40,55,100,35,319.96,1,0.35
251,83,64,976,8,339.98,8,0.03
252,170,21,1223,41,94.6,6,0.12
253,85,43,1619,86,80.89,1,0.3
254,38,84,3,99,246.84,7,0.41
255,28,86,650,85,227.33,6,0.24
256,112,9,636,20,334.04,8,0.38
257,199,77,735,12,163.15,9,0.29
258,183,58,1434,44,407.64,4,0.34
259,50,72,177,48,120.0,3,0.06
260,88,12,851,76,377.08,6,0.2
261,86,41,669,19,322.66,6,0.22
262,176,82,947,84,228.74,6,0.17
263,130,78,78,59,15.44,3,0.47
264,187,75,665,49,349.72,1,0.32
265,53,61,266,16,309.05,8,0.18
266,6,12,344,17,254.14,2,0.12
267,93,19,1894,32,160.58,3,0.2
268,138,96,131,38,348.83,7,0.1
269,15,94,803,72,222.75,10,0.39
270,92,38,25,69,405.79,2,0.23
271,28,92,1431,1,203.37,10,0.23
272,34,33,1224,63,339.42,7,0.19
273,63,12,381,71,109.53,10,0.2
274,65,17,614,62,101.76,3,0.09
275,115,68,1777,31,161.1,10,0.32
276,176,76,797,94,181.51,8,0.22
277,112,85,148,92,394.72,1,0.3
278,161,23,1756,85,371.86,5,0.49
279,8,14,528,79,274.18,2,0.42
280,85,80,1195,30,39.04,3,0.36
281,69,65,749,47,68.53,8,0.32
282,58,51,1999,2,176.3,8,0.43
283,25,85,402,1,365.08,3,0.03
284,12,35,1363,70,376.76,7,0.11
285,30,76,511,18,163.77,2,0.36
286,111,82,1268,68,108.74,6,0.04
287,170,16,1639,46,435.66,4,0.33
288,200,79,54,40,23.54,4,0.01
289,21,33,1510,9,57.01,9,0.49
290,142,34,1466,65,489.81,2,0.01
291,3,57,1769,34,186.4,8,0.1
292,115,30,1249,26,54.86,2,0.17
293,145,38,477,52,470.27,7,0.39
294,90,31,955,51,112.3,1,0.46
295,46,76,231,90,316.51,2,0.33
296,27,14,1,72,308.07,8,0.41
297,112,77,1307,92,163.61,5,0.46
298,174,79,6,88,204.78,5,0.13
299,26,93,15,65,426.84,6,0.12
300,176,21,1493,31,174.47,5,0.01
301,196,2,1057,8,372.16,5,0.19
302,89,92,1267,3,498.5,2,0.42
303,113,53,1655,47,406.62,9,0.44
304,148,95,873,92,372.98,7,0.03
305,118,40,1552,80,488.0,2,0.13
306,88,40,1305,45,238.37,3,0.29
307,159,25,229,57,397.94,9,0.08
308,173,45,228,92,362.15,1,0.14
309,104,1,1519,39,124.9,4,0.45
310,162,92,654,61,274.44,1,0.44
311,84,73,1643,100,421.45,5,0.14
312,79,58,1914,70,60.12,1,0.29
313,158,71,583,1,47.5,2,0.41
314,105,55,709,17,290.51,1,0.23
315,65,88,699,18,384.66,8,0.28
316,182,30,1670,95,81.85,5,0.04
317,63,6,368,91,381.3,9,0.04
318,164,88,1666,24,29.95,5,0.24
319,118,84,1600,64,441.82,3,0.27
320,191,6,1525,86,325.37,2,0.01
321,9,84,1695,31,375.55,4,0.04
322,109,34,725,43,305.35,9,0.44
323,36,58,1796,98,358.08,9,0.12
324,36,29,1245,71,353.06,2,0.27
325,89,90,611,49,103.7,5,0.27
326,100,63,779,88,325.3,6,0.22
327,149,41,101,89,404.25,4,0.21
328,58,51,1984,52,182.57,1,0.49
329,72,80,1775,72,458.75,8,0.08
330,49,37,1844,25,137.49,1,0.09
331,103,65,1767,36,327.6,10,0.11
332,158,7,624,90,353.29,7,0.43
333,9,55,534,97,268.78,10,0.29
334,110,49,905,66,205.83,9,0.23
335,142,18,383,74,230.15,8,0.43
336,32,91,1002,86,440.56,7,0.43
337,17,61,1309,71,284.32,10,0.37
338,127,28,591,4,241.35,10,0.21
339,95,23,1852,99,10.12,7,0.15
340,90,69,716,34,207.89,5,0.41
341,1,47,1697,66,200.96,2,0.29
342,14,7,763,54,447.03,4,0.45
343,66,81,44,90,477.07,4,0.25
344,72,70,1227,54,210.21,1,0.11
345,4,50,233,94,348.24,7,0.31
346,103,9,556,68,230.99,7,0.32
347,67,62,1537,15,437.98,10,0.48
348,54,20,714,58,361.19,4,0.37
349,127,61,614,95,45.53,5,0.44
350,12,96,447,28,239.46,3,0.15
351,77,38,1173,16,130.91,3,0.2
352,91,66,783,49,367.08,10,0.36
353,62,94,105,85,454.73,8,0.28
354,16,40,912,62,173.07,10,0.02
355,54,16,1967,55,211.79,2,0.41
356,3,89,1924,24,471.8,10,0.48
357,195,88,1529,43,353.89,4,0.08
358,34,42,1752,31,139.6,2,0.39
359,44,27,904,65,224.53,2,0.07
360,151,18,1991,89,346.72,3,0.01
361,46,48,41,6,367.04,2,0.05
362,11,82,841,89,385.48,1,0.28
363,120,43,89,31,318.76,6,0.29
364,50,60,1057,22,327.57,5,0.35
365,136,10,619,66,328.59,1,0.15
366,1,23,400,91,370.02,2,0.47
367,64,96,20,100,123.77,1,0.31
368,36,39,1548,96,312.76,1,0.23
369,37,77,146,4,305.62,3,0.32
370,104,69,1319,40,281.93,4,0.46
371,179,21,354,29,334.94,3,0.22
372,123,31,1544,19,51.39,5,0.44
373,104,21,1120,58,24.08,1,0.45
374,151,46,990,24,304.83,5,0.03
375,58,64,535,93,364.14,8,0.01
376,166,4,1207,19,376.32,10,0.45
377,162,63,854,9,202.49,6,0.2
378,1,87,207,61,231.7,8,0.34
379,99,57,1284,21,307.49,8,0.48
380,133,36,1157,67,162.57,3,0.5
381,157,53,12,86,253.04,2,0.04
382,200,55,255,40,322.06,2,0.35
383,107,46,584,75,202.1,10,0.23
384,174,98,1843,21,110.36,8,0.07
385,200,84,786,87,130.92,7,0.16
386,99,2,1231,41,290.65,3,0.05
387,111,51,1895,71,405.87,3,0.16
388,52,34,895,56,398.85,1,0.32
389,66,12,1052,96,354.77,8,0.45
390,67,17,142,95,113.05,4,0.09
391,90,68,794,88,336.51,5,0.23
392,54,51,1252,53,362.29,2,0.26
393,127,83,500,78,320.03,5,0.47
394,57,66,1293,56,428.63,2,0.12
395,197,73,1862,90,344.88,3,0.18
396,49,85,378,54,198.76,1,0.13
397,83,4,1974,37,262.6,5,0.34
398,12,25,1410,87,333.78,7,0.2
399,199,55,784,52,311.1,6,0.08
400,71,92,732,30,268.25,2,0.41
401,87,21,1283,99,246.81,6,0.38
402,100,100,1719,19,36.69,1,0.2
403,11,92,1824,87,152.56,3,0.04
404,135,77,1310,49,379.1,4,0.41
405,159,83,398,59,488.04,5,0.16
406,123,71,809,66,451.29,10,0.45
407,118,31,1935,1,452.63,6,0.26
408,184,52,2000,36,366.48,7,0.29
409,57,13,272,60,354.31,2,0.04
410,129,62,1412,94,97.88,9,0.09
411,197,38,1967,72,481.31,2,0.27
412,78,8,966,13,197.42,5,0.33
413,162,73,328,88,443.66,8,0.2
414,17,49,456,34,327.36,1,0.14
415,29,63,32,74,439.11,8,0.19
416,45,30,1506,79,267.01,5,0.11
417,62,78,874,53,254.34,5,0.1
418,138,7,1224,46,139.4,8,0.14
419,173,68,492,78,455.05,1,0.47
420,27,45,1943,94,60.65,10,0.28
421,180,35,1083,18,288.28,6,0.23
422,104,95,1729,11,170.4,9,0.42
423,2,23,1338,4,198.17,4,0.44
424,165,66,1910,59,354.86,3,0.5
425,176,97,1678,49,273.38,10,0.22
426,130,69,1066,10,69.06,10,0.33
427,75,62,1964,70,391.81,1,0.34
428,140,40,648,90,71.31,8,0.03
429,101,65,1597,82,160.38,3,0.26
430,62,93,1463,50,145.03,1,0.17
431,195,4,1043,30,349.98,3,0.23
432,133,33,388,6,190.22,8,0.06
433,194,100,828,19,381.38,8,0.12
434,174,24,1427,22,220.89,3,0.29
435,148,100,1619,97,447.18,2,0.18
436,35,97,1788,41,352.58,10,0.4
437,95,20,147,65,485.92,9,0.42
438,172,66,386,47,370.24,2,0.04
439,195,42,1846,29,59.09,3,0.23
440,169,29,1979,43,55.4,4,0.45
441,87,65,1955,31,485.83,2,0.07
442,158,95,1652,52,441.42,7,0.25
443,197,82,14,78,75.62,9,0.42
444,47,12,206,50,363.68,3,0.49
445,196,30,1955,50,193.97,8,0.04
446,72,2,19,19,324.43,7,0.21
447,172,54,707,60,257.89,10,0.2
448,107,37,1284,23,264.99,1,0.47
449,194,47,1212,19,113.27,1,0.27
450,73,98,1347,89,403.09,8,0.4
451,88,71,1045,71,478.63,3,0.1
452,136,82,1348,73,453.74,9,0.2
453,196,18,475,24,415.72,3,0.07
454,82,30,318,63,138.16,2,0.3
455,157,51,1725,87,40.42,6,0.22
456,47,89,453,97,17.46,3,0.22
457,167,67,90,49,236.35,9,0.37
458,158,36,1229,39,236.37,3,0.01
459,178,12,293,92,323.57,3,0.26
460,190,28,68,89,296.36,4,0.36
461,120,75,1057,94,497.16,2,0.45
462,4,79,1264,47,300.65,10,0.07
463,64,97,1084,9,435.98,6,0.05
464,4,45,1639,68,80.52,10,0.15
465,162,76,557,36,305.03,6,0.16
466,89,71,1873,52,343.86,10,0.06
467,72,20,314,12,492.91,3,0.22
468,58,13,1555,9,301.42,2,0.41
469,78,59,39,15,222.48,2,0.25
470,31,12,1816,37,312.08,3,0.48
471,54,27,141,17,263.34,8,0.13
472,120,31,532,8,19.62,3,0.15
473,166,56,1915,42,318.97,4,0.41
474,158,49,524,38,407.59,8,0.29
475,56,50,1358,16,379.4,3,0.13
476,153,57,491,72,419.92,6,0.12
477,172,7,1031,5,425.14,4,0.31
478,127,70,1942,84,473.98,10,0.17
479,182,65,183,8,341.54,2,0.32
480,33,49,1576,64,105.86,9,0.19
481,146,90,1890,24,21.8,10,0.16
482,79,97,781,81,460.16,7,0.23
483,157,19,853,61,345.04,3,0.29
484,130,40,1376,30,292.12,7,0.24
485,8,60,763,81,157.63,6,0.21
486,165,18,1761,15,305.28,9,0.08
487,110,9,867,45,308.25,2,0.03
488,185,29,284,14,54.1,4,0.4
489,9,99,1784,64,33.17,10,0.16
490,75,53,283,52,158.98,8,0.2
491,79,71,1398,89,39.64,6,0.04
492,144,45,1229,30,328.62,6,0.07
493,136,56,810,33,304.85,2,0.31
494,51,88,17,8,133.11,2,0.3
495,73,6,1119,10,52.87,8,0.45
496,78,37,998,2,29.18,7,0.31
497,28,4,1340,29,415.84,5,0.33
498,56,12,1233,41,449.03,2,0.48
499,150,77,623,23,338.14,4,0.06
500,144,31,1937,77,284.36,5,0.34
501,85,52,1239,98,442.99,1,0.04
502,148,19,1203,1,96.12,9,0.34
503,80,64,1600,13,288.12,10,0.28
504,159,65,898,78,137.93,2,0.36
505,178,81,1442,40,494.05,10,0.2
506,179,53,1448,29,165.54,7,0.27
507,141,90,206,69,140.47,10,0.11
508,81,72,604,28,375.55,4,0.43
509,19,75,118,6,168.87,3,0.44
510,155,32,1967,33,224.42,8,0.47
511,82,84,27,12,465.79,1,0.39
512,145,85,979,28,18.06,6,0.3
513,92,47,430,92,274.09,7,0.02
514,29,40,1874,85,173.64,2,0.5
515,49,81,1905,40,427.71,8,0.46
516,5,42,268,74,496.67,4,0.41
517,2,45,253,19,223.95,6,0.36
518,81,47,176,56,128.05,3,0.3
519,118,24,1480,8,313.13,7,0.37
520,95,89,522,39,242.84,8,0.25
521,51,47,1241,12,159.97,4,0.2
522,152,28,1635,10,165.07,10,0.07
523,53,74,1275,43,144.58,7,0.32
524,110,18,752,43,373.5,8,0.44
525,154,98,1838,15,458.92,9,0.22
526,164,4,560,85,451.91,1,0.38
527,145,97,40,8,253.0,7,0.31
528,67,99,1712,29,358.64,8,0.36
529,180,39,1735,19,239.88,9,0.33
530,24,60,960,40,426.57,6,0.36
531,118,19,560,66,223.15,6,0.49
532,117,9,48,93,90.25,9,0.11
533,44,100,779,3,213.65,10,0.3
534,129,30,1532,81,485.05,5,0.17
535,148,62,1138,4,493.44,6,0.15
536,91,54,936,9,409.13,5,0.22
537,84,88,44,10,47.13,6,0.04
538,183,35,1349,84,144.91,4,0.27
539,116,41,723,42,237.26,9,0.26
540,3,91,107,68,181.43,4,0.28
541,154,45,490,94,50.12,6,0.46
542,21,55,1375,10,122.74,1,0.23
543,87,44,296,29,142.4,9,0.11
544,175,53,257,63,299.19,3,0.29
545,191,42,822,44,359.21,10,0.21
546,60,32,860,30,317.95,4,0.4
547,151,58,1656,25,284.37,1,0.04
548,108,84,633,55,24.49,10,0.2
549,200,27,1068,59,385.26,5,0.48
550,69,19,1716,69,168.85,2,0.06
551,171,87,966,77,337.02,4,0.16
552,178,76,1195,80,357.24,10,0.14
553,200,54,887,62,81.76,7,0.06
554,89,68,1300,80,470.7,1,0.39
555,144,55,1858,28,477.08,9,0.26
556,37,33,1639,20,397.28,5,0.12
557,84,77,1846,68,18.43,1,0.13
558,194,72,1800,73,153.65,3,0.28
559,72,87,595,17,230.37,2,0.44
560,85,66,1732,14,336.47,9,0.21
561,139,38,1743,47,248.26,1,0.48
562,158,18,1867,83,325.95,1,0.13
563,181,83,1971,82,385.01,9,0.34
564,82,43,235,85,155.78,5,0.25
565,163,72,90,99,469.97,8,0.34
566,113,2,1426,59,212.32,1,0.47
567,191,25,1202,5,167.6,9,0.15
568,79,44,990,65,201.29,10,0.01
569,173,46,1801,39,354.0,5,0.49
570,85,42,801,92,240.68,2,0.1
571,119,73,735,44,427.98,4,0.09
572,141,38,1021,10,130.05,8,0.4
573,189,65,2000,63,377.94,5,0.29
574,29,85,1666,9,201.06,6,0.19
575,75,19,1662,6,193.4,8,0.22
576,145,48,1683,11,340.43,7,0.47
577,120,8,851,91,329.16,5,0.33
578,59,20,198,10,63.68,9,0.06
579,142,76,1432,58,83.93,7,0.19
580,80,61,257,33,176.11,3,0.44
581,74,73,38,53,417.1,3,0.27
582,84,3,910,88,260.81,6,0.03
583,118,41,950,75,405.59,9,0.4
584,99,38,1476,13,346.16,3,0.25
585,149,84,1151,29,455.16,7,0.21
586,94,100,768,33,268.49,9,0.31
587,70,61,1754,61,390.03,8,0.02
588,14,93,292,90,327.6,9,0.29
589,128,99,1908,17,439.23,7,0.2
590,105,24,1087,56,328.71,10,0.04
591,164,76,1771,92,225.02,4,0.1
592,30,37,1237,51,215.9,4,0.49
593,166,72,1511,45,394.1,1,0.1
594,137,65,786,91,106.61,9,0.17
595,161,66,506,43,388.75,1,0.38
596,65,98,1430,60,469.35,10,0.42
597,155,7,1847,19,263.65,6,0.42
598,11,16,75,57,411.09,2,0.3
599,171,46,1263,72,496.11,7,0.17
600,105,49,1885,33,164.61,6,0.13
601,132,86,336,62,96.61,6,0.31
602,105,10,1500,52,211.29,8,0.32
603,79,93,1198,16,291.8,9,0.1
604,97,69,1076,80,252.81,2,0.4
605,152,27,967,74,336.23,4,0.14
606,37,68,1700,24,227.92,4,0.39
607,130,74,1089,88,392.51,7,0.48
608,146,92,1475,60,77.41,6,0.42
609,197,67,1611,51,394.7,3,0.21
610,4,97,1535,67,405.42,1,0.33
611,137,92,1929,96,272.64,2,0.21
612,165,93,14,4,11.14,8,0.19
613,30,63,505,89,349.78,10,0.22
614,101,33,1687,70,480.45,10,0.11
615,166,97,914,35,250.54,8,0.43
616,199,55,224,59,93.25,4,0.16
617,51,66,1999,10,348.08,4,0.44
618,188,42,1419,22,432.7,4,0.15
619,36,46,1629,47,207.62,1,0.16
620,50,46,324,90,309.15,8,0.31
621,27,52,560,90,490.73,4,0.45
622,170,45,22,80,58.46,4,0.45
623,164,57,1127,59,448.4,3,0.1
624,144,66,1731,33,489.07,6,0.39
625,6,63,516,9,425.42,7,0.11
626,171,89,802,13,114.48,10,0.43
627,20,48,489,14,252.62,5,0.45
628,171,67,1803,31,292.69,2,0.21
629,187,92,851,25,12.51,4,0.15
630,9,32,257,27,82.32,2,0.48
631,100,92,804,21,174.87,1,0.03
632,17,56,1597,6,494.37,10,0.44
633,168,85,1125,44,201.24,1,0.22
634,186,60,907,37,407.29,2,0.1
635,124,51,252,50,305.29,2,0.26
636,18,41,1203,70,191.82,6,0.29
637,179,38,1807,15,384.07,9,0.18
638,183,29,1396,4,46.48,6,0.23
639,98,1,1145,32,417.31,9,0.49
640,86,61,1969,17,172.39,4,0.24
641,30,40,322,89,367.69,1,0.34
642,150,30,1451,57,54.32,6,0.04
643,108,71,1592,82,40.12,7,0.16
644,46,35,853,63,457.41,8,0.26
645,106,37,400,24,107.31,2,0.19
646,41,49,200,22,294.74,3,0.07
647,89,3,1084,95,204.33,10,0.22
648,58,20,605,61,93.15,5,0.23
649,174,21,1084,75,370.54,10,0.09
650,91,45,1785,39,279.9,3,0.49
651,70,62,1040,29,498.97,9,0.33
652,28,2,64,21,197.91,8,0.48
653,60,94,1398,48,154.79,4,0.18
654,163,10,277,39,158.95,7,0.38
655,110,98,1439,97,14.95,5,0.01
656,122,25,278,61,484.42,3,0.07
657,36,55,1972,80,305.86,10,0.26
658,78,95,1766,2,396.99,4,0.24
659,144,28,1807,74,384.78,5,0.32
660,193,34,324,85,306.52,8,0.3
661,189,34,419,16,276.7,10,0.2
662,60,42,706,5,120.67,9,0.09
663,69,75,1007,26,478.57,6,0.12
664,39,24,1715,24,132.62,5,0.19
665,41,34,1407,45,257.07,1,0.26
666,119,17,179,41,302.5,9,0.08
667,60,81,1065,58,217.64,6,0.03
668,20,14,432,60,288.85,5,0.26
669,102,40,98,72,48.05,10,0.09
670,177,39,964,89,73.16,1,0.33
671,138,49,301,28,201.99,7,0.47
672,168,94,1602,10,414.68,5,0.24
673,121,90,1908,89,240.79,3,0.41
674,190,88,811,9,214.69,2,0.45
675,21,90,1915,40,340.67,8,0.16
676,2,5,232,5,478.94,3,0.49
677,195,73,617,47,345.75,5,0.15
678,47,42,1134,100,100.46,4,0.19
679,182,21,1978,25,342.18,7,0.22
